Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,11.6667,12.2222,12.5361,Inf,Inf,15.1885,15.1745,16.1388,19.3317,25.0307
1,13,14.3333,14.5,Inf,Inf,15.7182,16.4834,16.7887,21.8436,27.7858
2,11.5,13.1667,13.6667,Inf,Inf,18.3784,18.8331,20.0414,23.0593,30.2876
3,14,16,16,Inf,Inf,20.1946,20.6294,21.4734,24.4458,34.5444
4,12.1667,12.1667,12.1667,14.6667,59.217,15.1667,14.6815,14.6607,20.2311,22.4014
5,11,11.3333,11.5,12.75,21.2254,12.774,12.747,12.735,14.3544,20.3686
6,10.6667,11.6667,12.1667,12.6667,81.7193,12.6697,12.6601,12.9805,16.2853,19.0362
7,12.5,13.1667,13.8333,15.9028,2320.36,16.7468,16.7102,19.5006,19.7612,25.8784
8,14,14.3333,14.6667,15.6667,24.59,16.4992,15.7316,16.7506,23.4035,27.0924
9,13.5,14,14.5,Inf,Inf,19.5129,20.164,22.0428,23.0448,30.9442
10,11,12,12.5,Inf,Inf,14.1932,14.7606,17.1495,20.0132,25.677
11,12.1667,12.1667,13.1667,13.1667,0.351859,13.1709,13.1697,13.1907,16.8277,19.8554
12,8.5,8.83333,9.16667,Inf,Inf,11.8646,11.718,12.9472,14.4822,19.9352
13,12,12,12.6667,Inf,Inf,16.0911,16.2842,16.4349,19.9422,25.6566
14,12.5,13,13,13.5833,12.3589,14.0671,14.0911,14.2403,16.5407,25.5256
15,12.5,13,13.5,Inf,Inf,15.7686,15.7352,17.1622,20.071,25.0896
16,10.5,12,13,Inf,Inf,16.8462,16.7494,17.0286,22.6072,28.631
17,12,12,12,13.25,57.761,13.9805,13.2394,13.409,20.1308,24.7332
18,10.5,10.5,10.5,Inf,Inf,16.415,15.9322,17.508,19.4348,28.073
19,8,8,8,10,1753.9,9.9954,10.0024,10.7502,14.2814,17.5014
20,12,12.5,13,Inf,Inf,16.5066,16.2482,16.7882,18.1401,24.8584
21,15,17,17,Inf,Inf,20.855,21.7181,25.8354,31.1924,35.75
22,11,11,11,Inf,Inf,14,14,14,14,22.442
23,7.5,7.5,7.5,8,0.414467,8.0308,7.9904,7.9968,8.8821,10.8878
24,11.5,11.5,11.75,13.5,315.98,14.475,13.5162,13.4966,20.597,23.5616
25,9.5,11.5,11.5,Inf,Inf,14.4868,14.5235,15.2223,17.3559,24.2242
26,14,14,14,14.5417,80.658,14.9186,15.3378,16.6632,20.0958,26.0562
27,11.5,11.5,11.5,Inf,Inf,16.8808,16.8144,18.7331,20.3446,28.432
28,12,12.5,13,14.75,1131.87,15.1991,15.2466,16.4946,21.7804,26.0782
29,10.5,10.5,10.8333,14,574.379,14.4988,14.0096,14.9569,17.4944,21.5276
30,13.5,13.5,14.5,Inf,Inf,15.7518,15.5078,17.1826,19.3068,28.0864
