S,T,C,opt,L
5,3,10,3.33398,3.33441
6,3,12,4.04224,4.04272
7,3,14,4.60278,4.60525
8,3,16,5.18819,5.18881
9,3,18,5.7244,5.72327
10,3,20,6.37981,6.37858
5,4,13,6.52861,6.52161
6,4,16,8.01755,8.01665
7,4,19,9.55296,9.55187
8,4,21,9.96197,9.9534
9,4,24,11.5808,11.5813
10,4,27,12.9821,12.9874
5,5,17,12.0527,12.0609
6,5,20,13.4769,13.4759
7,5,23,14.7478,14.739
8,5,27,17.7471,17.7524
9,5,30,19.1462,19.1404
10,5,34,22.0652,22.0633
5,6,20,17.2806,17.2934
6,6,24,20.13,20.1478
7,6,28,23.141,23.1353
8,6,32,Inf,26.0448
9,6,36,Inf,28.8423
10,6,40,Inf,31.7712
